ORDER ID,PRODUCT ID,QUANTITY,UNIT PRICE,DISCOUNT_PCT,SALES AMOUNT
O0001,P035,1,6510,0.15,5533.5
O0001,P022,3,7418,0,22254
O0001,P025,1,3413,0.1,3071.7
O0001,P009,2,2070,0,4140
O0002,P039,3,3742,0,11226
O0002,P040,3,5578,0.1,15060.6
O0002,P026,4,7443,0,29772
O0003,P036,2,3150,0.15,5355
O0003,P025,4,3413,0,13652
O0003,P028,3,1445,0,4335
O0004,P006,3,5741,0,17223
O0005,P010,1,933,0,933
O0005,P025,1,3413,0.05,3242.35
O0005,P021,4,4648,0.05,17662.4
O0005,P024,3,8678,0,26034
O0006,P006,4,5741,0.1,20667.6
O0006,P012,4,7840,0,31360
O0007,P006,3,5741,0.15,14639.55
O0008,P039,3,3742,0.1,10103.4
O0009,P019,4,2188,0.1,7876.8
O0010,P036,2,3150,0.15,5355
O0011,P025,2,3413,0.05,6484.7
O0011,P011,3,3943,0.05,11237.55
O0012,P010,3,933,0.1,2519.1
O0012,P005,3,705,0.1,1903.5
O0012,P011,1,3943,0.05,3745.85
O0012,P028,3,1445,0,4335
O0013,P039,1,3742,0,3742
O0013,P040,3,5578,0,16734
O0013,P013,4,4027,0.05,15302.6
O0013,P030,4,2340,0.05,8892
O0014,P022,3,7418,0.05,21141.3
O0014,P028,2,1445,0.1,2601
O0014,P039,3,3742,0,11226
O0014,P009,4,2070,0.05,7866
O0015,P032,3,6990,0.1,18873
O0015,P037,3,5229,0.1,14118.3
O0015,P016,3,4872,0,14616
O0016,P038,2,305,0.15,518.5
O0016,P035,1,6510,0.1,5859
O0017,P029,1,5708,0.1,5137.2
O0017,P019,4,2188,0,8752
O0018,P016,4,4872,0.1,17539.2
O0018,P017,1,8645,0.1,7780.5
O0018,P010,4,933,0.15,3172.2
O0019,P035,3,6510,0.15,16600.5
O0019,P033,1,5143,0,5143
O0019,P027,2,3527,0.05,6701.3
O0019,P003,2,4177,0.15,7100.9
O0020,P037,4,5229,0.05,19870.2
O0021,P007,2,7044,0.1,12679.2
O0021,P001,3,6957,0.1,18783.9
O0021,P017,4,8645,0.15,29393
O0021,P015,2,4863,0.05,9239.7
O0022,P031,1,5219,0.05,4958.05
O0023,P006,3,5741,0.05,16361.85
O0023,P008,4,4364,0,17456
O0023,P010,4,933,0.05,3545.4
O0023,P023,4,5438,0,21752
O0024,P029,1,5708,0,5708
O0024,P021,1,4648,0.05,4415.6
O0024,P005,1,705,0,705
O0024,P020,2,4578,0.15,7782.6
O0025,P036,3,3150,0.15,8032.5
O0025,P011,4,3943,0.1,14194.8
O0026,P026,2,7443,0.1,13397.4
O0026,P012,4,7840,0,31360
O0027,P029,4,5708,0.1,20548.8
O0027,P038,1,305,0,305
O0028,P018,1,5724,0.15,4865.4
O0028,P005,2,705,0.05,1339.5
O0029,P013,3,4027,0.1,10872.9
O0029,P030,3,2340,0.15,5967
O0029,P008,4,4364,0.15,14837.6
O0030,P038,2,305,0.05,579.5
O0030,P008,1,4364,0,4364
O0030,P023,3,5438,0,16314
O0030,P030,2,2340,0.05,4446
O0031,P012,3,7840,0,23520
O0032,P027,4,3527,0.1,12697.2
O0032,P039,2,3742,0.1,6735.6
O0032,P009,2,2070,0.15,3519
O0032,P037,2,5229,0.1,9412.2
O0033,P009,4,2070,0.15,7038
O0033,P012,1,7840,0.05,7448
O0033,P021,1,4648,0.1,4183.2
O0034,P013,4,4027,0.1,14497.2
O0034,P025,4,3413,0.1,12286.8
O0035,P032,1,6990,0,6990
O0035,P011,3,3943,0,11829
O0035,P006,3,5741,0,17223
O0035,P037,3,5229,0,15687
O0036,P037,1,5229,0.15,4444.65
O0036,P032,1,6990,0.05,6640.5
O0036,P036,3,3150,0.15,8032.5
O0036,P033,1,5143,0.1,4628.7
O0037,P028,2,1445,0.05,2745.5
O0037,P007,1,7044,0.1,6339.6
O0038,P023,1,5438,0,5438
O0038,P006,2,5741,0.15,9759.7
O0038,P029,3,5708,0.15,14555.4
O0039,P011,2,3943,0,7886
O0039,P040,3,5578,0.15,14223.9
O0039,P009,3,2070,0.15,5278.5
O0039,P014,2,3463,0.05,6579.7
O0040,P019,1,2188,0,2188
O0040,P037,4,5229,0,20916
O0040,P018,3,5724,0,17172
O0041,P016,3,4872,0,14616
O0041,P010,4,933,0.1,3358.8
O0042,P037,4,5229,0.1,18824.4
O0042,P018,4,5724,0,22896
O0043,P026,3,7443,0.05,21212.55
O0044,P032,1,6990,0.1,6291
O0044,P021,3,4648,0,13944
