ORDER ID,CUSTOMER ID,EMPLOYEE ID,ORDER DATE,PAYMENT METHOD,ORDER STATUS
O0001,C016,E015,08-05-2025,Credit Card,Returned
O0002,C086,E017,26-08-2025,Cash on Delivery,Shipped
O0003,C097,E015,12-06-2025,Cash on Delivery,Returned
O0004,C055,E018,16-09-2025,Net Banking,Delivered
O0005,C058,E009,01-09-2025,Credit Card,Returned
O0006,C036,E017,23-11-2025,Net Banking,Cancelled
O0007,C036,E015,03-05-2025,UPI,Cancelled
O0008,C031,E009,27-05-2025,Debit Card,Delivered
O0009,C011,E005,04-10-2025,Credit Card,Delivered
O0010,C089,E005,16-07-2025,Credit Card,Delivered
O0011,C053,E011,01-08-2025,Cash on Delivery,Delivered
O0012,C008,E007,01-08-2025,Net Banking,Delivered
O0013,C090,E001,27-10-2025,Cash on Delivery,Delivered
O0014,C001,E012,02-09-2025,Debit Card,Returned
O0015,C054,E018,19-07-2025,Cash on Delivery,Returned
O0016,C029,E016,05-11-2025,Credit Card,Delivered
O0017,C063,E001,12-08-2025,Net Banking,Delivered
O0018,C087,E013,09-12-2025,Credit Card,Returned
O0019,C017,E020,28-08-2025,Cash on Delivery,Delivered
O0020,C076,E019,21-07-2025,UPI,Delivered
O0021,C055,E005,26-11-2025,Net Banking,Delivered
O0022,C034,E013,26-01-2025,Debit Card,Delivered
O0023,C042,E011,21-08-2025,Net Banking,Delivered
O0024,C033,E003,04-08-2025,Net Banking,Delivered
O0025,C007,E012,04-10-2025,Credit Card,Cancelled
O0026,C100,E002,05-02-2025,UPI,Delivered
O0027,C003,E020,13-04-2025,Credit Card,Delivered
O0028,C061,E004,06-03-2025,Cash on Delivery,Delivered
O0029,C090,E009,27-08-2025,Debit Card,Delivered
O0030,C078,E004,07-11-2025,Credit Card,Delivered
O0031,C075,E001,25-02-2025,Debit Card,Shipped
O0032,C049,E013,13-12-2025,Credit Card,Delivered
O0033,C089,E008,31-10-2025,UPI,Cancelled
O0034,C088,E020,04-06-2025,UPI,Returned
O0035,C006,E012,17-10-2025,Cash on Delivery,Delivered
O0036,C048,E003,05-12-2025,Cash on Delivery,Cancelled
O0037,C002,E014,24-06-2025,Net Banking,Delivered
O0038,C047,E015,10-08-2025,Credit Card,Delivered
O0039,C094,E017,01-04-2025,Debit Card,Shipped
O0040,C100,E016,03-10-2025,Net Banking,Delivered
O0041,C035,E011,31-10-2025,Credit Card,Returned
O0042,C036,E015,14-02-2025,Credit Card,Returned
O0043,C073,E020,26-08-2025,Net Banking,Delivered
O0044,C064,E011,15-01-2025,Credit Card,Delivered
O0045,C046,E009,19-04-2025,Debit Card,Delivered
O0046,C090,E009,02-11-2025,Cash on Delivery,Delivered
O0047,C025,E003,22-09-2025,Credit Card,Cancelled
O0048,C063,E018,28-07-2025,Credit Card,Cancelled
O0049,C083,E016,01-09-2025,Net Banking,Returned
O0050,C012,E010,09-01-2025,Credit Card,Delivered
O0051,C032,E010,21-12-2025,Cash on Delivery,Delivered
O0052,C071,E017,31-08-2025,Debit Card,Delivered
O0053,C043,E012,09-10-2025,Net Banking,Delivered
O0054,C033,E008,06-06-2025,UPI,Cancelled
O0055,C041,E004,09-04-2025,Cash on Delivery,Returned
O0056,C024,E007,20-12-2025,Credit Card,Cancelled
O0057,C036,E019,05-09-2025,Cash on Delivery,Shipped
O0058,C013,E007,25-05-2025,Debit Card,Delivered
O0059,C023,E010,04-07-2025,UPI,Cancelled
O0060,C017,E009,01-10-2025,UPI,Delivered
O0061,C038,E005,11-10-2025,Net Banking,Delivered
O0062,C074,E010,07-01-2025,Net Banking,Delivered
O0063,C044,E006,14-08-2025,UPI,Delivered
O0064,C015,E003,02-09-2025,Net Banking,Delivered
O0065,C074,E002,07-02-2025,Credit Card,Delivered
O0066,C039,E003,16-10-2025,Credit Card,Delivered
O0067,C098,E014,13-10-2025,Cash on Delivery,Shipped
O0068,C029,E017,13-11-2025,Net Banking,Delivered
O0069,C039,E019,15-08-2025,Net Banking,Delivered
O0070,C080,E002,19-10-2025,Cash on Delivery,Cancelled
O0071,C098,E007,20-02-2025,Credit Card,Delivered
O0072,C011,E006,05-12-2025,Credit Card,Delivered
O0073,C010,E006,10-10-2025,UPI,Delivered
O0074,C089,E020,19-08-2025,Net Banking,Delivered
O0075,C030,E010,17-01-2025,Debit Card,Cancelled
O0076,C010,E008,21-08-2025,Debit Card,Returned
O0077,C076,E007,17-11-2025,Net Banking,Delivered
O0078,C029,E005,06-10-2025,Debit Card,Returned
O0079,C010,E002,14-03-2025,Credit Card,Returned
O0080,C077,E019,07-06-2025,Debit Card,Delivered
O0081,C060,E010,05-03-2025,Net Banking,Delivered
O0082,C070,E016,14-09-2025,Net Banking,Delivered
O0083,C006,E014,03-11-2025,Debit Card,Shipped
O0084,C004,E003,09-05-2025,Credit Card,Cancelled
O0085,C076,E001,22-10-2025,Debit Card,Shipped
O0086,C098,E006,21-01-2025,Net Banking,Shipped
O0087,C057,E009,30-11-2025,Credit Card,Shipped
O0088,C082,E016,12-08-2025,UPI,Delivered
O0089,C053,E011,28-06-2025,Debit Card,Cancelled
O0090,C021,E011,23-02-2025,Net Banking,Cancelled
O0091,C037,E013,11-09-2025,Cash on Delivery,Delivered
O0092,C012,E011,21-08-2025,Debit Card,Delivered
O0093,C099,E013,01-03-2025,Cash on Delivery,Returned
O0094,C085,E018,01-01-2025,Net Banking,Delivered
O0095,C025,E017,28-01-2025,Debit Card,Shipped
O0096,C081,E015,13-09-2025,UPI,Delivered
O0097,C071,E005,17-05-2025,Debit Card,Delivered
O0098,C063,E004,24-12-2025,UPI,Cancelled
O0099,C031,E006,08-11-2025,Debit Card,Shipped
O0100,C071,E014,08-01-2025,UPI,Delivered
O0101,C060,E004,28-02-2025,Credit Card,Delivered
O0102,C066,E009,30-05-2025,Net Banking,Returned
O0103,C061,E008,05-09-2025,Net Banking,Shipped
O0104,C050,E007,16-03-2025,Cash on Delivery,Shipped
O0105,C009,E009,11-03-2025,Net Banking,Delivered
O0106,C035,E001,17-09-2025,Debit Card,Cancelled
O0107,C076,E019,02-06-2025,Net Banking,Returned
O0108,C058,E018,18-03-2025,Net Banking,Delivered
O0109,C071,E018,20-06-2025,Net Banking,Delivered
O0110,C025,E008,14-06-2025,Cash on Delivery,Delivered
O0111,C100,E014,30-04-2025,UPI,Delivered
O0112,C091,E013,31-08-2025,Net Banking,Cancelled
O0113,C020,E016,30-11-2025,UPI,Delivered
O0114,C076,E011,15-09-2025,UPI,Returned
O0115,C013,E017,14-08-2025,Net Banking,Delivered
O0116,C053,E005,15-03-2025,UPI,Delivered
O0117,C044,E020,16-05-2025,Net Banking,Cancelled
